Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C17, C19, C31, C32, C40, C43, C45, C49, C5, C7",0603,12,0.1u,
C10,0603,1,22nf,
C11,0603,1,0.22uf,
C12,0603,1,22n,
C14,0603,1,330p,
C15,0603,1,150p,
"C16, C28, C33, C41, C46, C48",0603,6,10n,
"C18, C42, C6",0603,3,1u,
C2,0603,1,2.2u,
"C20, C21, C23, C24, C25, C26",1206,6,22u,
"C22, C39, C53, C54, C55, C57, C8",0402,7,0.1u,
C27,0805,1,4.7u,
C29,0805,1,22u,
"C3, C52",0603,2,1n,
C30,0603,1,22u,
"C34, C35, C36, C37, C38",1206,5,0.1u,
C4,0603,1,0.47u,
C44,0805,1,1u,
C47,0402,1,470n,
C50,0603,1,100n,
C51,0603,1,5.6n,
"C56, C58",0402,2,1u,
C9,0402,1,10p,
"D1, D2",0201,2,LED,
"D10, D11, D8, D9",D_SOD-523,4,RB511SM-40FHT2R,
D12,SOD3716X135N,1,1N4448W-TP,
D13,SOT95P240X120-3N,1,MMBD1503A,
D7,SODFL1608X65N,1,BAT64T5Q-7-F,
IC1,SOT65P210X100-3N,1,BAT5404WH6327XTSA1,
"J1, J2",PinHeader_1x02_P2.54mm_Horizontal,2,Conn_01x02_Pin,
J3,PinHeader_1x01_P2.54mm_Horizontal,1,Conn_01x01_Pin,
J4,PinHeader_1x05_P2.54mm_Horizontal,1,Conn_01x05_Socket,
J5,SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm,1,Conn_01x02,
L1,Yageo_Pulse_PA4342_10.3x11.5mm,1,PA4342.682NLT,PA4342.682NLT
L2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,MP-A11,
"Q2, Q3, Q4, Q5, Q6, Q7",IFX-PG-TSDSON-8-26-V,6,BSZ0902NS,
Q8,SOT-23,1,BSS138N,
"R1, R11, R6, R7",0603,4,1k,
"R10, R30, R43, R8, R9",0402,5,0,
R12,0603,1,27k,
"R13, R2, R20, R21, R31, R39",0603,6,5.1k,
R14,0603,1,390,
"R15, R19",0603,2,10k,
"R16, R38",0603,2,100k,
"R17, R24, R25, R29, R3, R37",0603,6,0,
R18,0603,1,1M,
R22,1206,1,0.005,
R23,1206,1,0.01,
"R27, R28",0402,2,10,
"R32, R33",0603,2,10,
R34,0603,1,62,
R35,0603,1,2.2k,
R36,0603,1,130k,
R40,0603,1,36k,
R41,0603,1,3.6k,
R42,0603,1,20k,
TP1,TestPoint_Pad_D1.5mm,1,ASK_OUT,
TP10,TestPoint_Pad_D1.0mm,1,LG2_1,
TP11,TestPoint_Pad_D2.0mm,1,COIL_SNS,
TP12,TestPoint_Pad_D2.0mm,1,HG1_1,
TP13,TestPoint_Pad_D2.0mm,1,LG1_1,
TP14,TestPoint_Pad_D2.0mm,1,SW2_1,
TP15,TestPoint_Pad_D2.0mm,1,SW1_1,
TP16,TestPoint_Pad_D1.5mm,1,Vin,
TP17,TestPoint_Pad_D1.5mm,1,VDDD,
TP18,TestPoint_Pad_D2.0mm,1,VBRG_0,
TP19,TestPoint_Pad_D2.0mm,1,V2I_IP,
TP2,TestPoint_Pad_D2.0mm,1,OPAMP_GAIN,
TP20,TestPoint_Pad_D2.0mm,1,Q_COMP,
TP21,TestPoint_Pad_D1.0mm,1,PWN_OUT,
TP22,TestPoint_Pad_D1.0mm,1,ASK_TST,
TP23,TestPoint_Pad_D1.0mm,1,VCCD,
TP3,TestPoint_Pad_D2.0mm,1,OPAMP_CMP,
TP4,TestPoint_Pad_D2.0mm,1,CMP_REF,
TP5,TestPoint_Pad_D2.0mm,1,PVIN_0,
TP6,TestPoint_Pad_D1.0mm,1,HG1_0,
TP7,TestPoint_Pad_D1.0mm,1,LG1_0,
TP8,TestPoint_Pad_D1.5mm,1,SW1_0,
TP9,TestPoint_Pad_D1.0mm,1,HG2_1,
U1,PG-VQFN-68,1,WLC1115-68LQXQ,
U2,PG-USON-10-2,1,SLS32AIA020U2USON10XTMA1,
U3,DGK8_TEX,1,LMV358AQDGKRQ1,
