Designator,Mid X,Mid Y,Rotation,Layer
C1,63.5135,-64.9,0.0,top
C10,55.613,-86.3895,270.0,top
C11,53.1735,-84.077,180.0,top
C12,57.9995,-92.586,180.0,top
C13,67.3975,-94.11,180.0,top
C15,57.137,-90.0195,90.0,top
C17,68.948,-89.157,0.0,top
C18,68.3395,-82.426,0.0,top
C19,44.437,-88.1145,90.0,top
C2,55.105,-75.949,270.0,top
C20,53.357,-47.3355,90.0,top
C21,55.867,-47.3355,90.0,top
C22,57.6715,-67.44,0.0,top
C23,84.95,-45.6965,90.0,top
C24,87.998,-45.6965,90.0,top
C25,92.062,-47.882,0.0,top
C26,92.062,-50.392,0.0,top
C27,58.153,-47.882,90.0,top
C28,59.931,-48.1095,90.0,top
C29,87.6435,-68.71,0.0,top
C3,48.4005,-74.044,0.0,top
C30,89.6755,-59.312,0.0,top
C31,87.6435,-70.488,0.0,top
C32,89.6755,-61.09,0.0,top
C33,91.4535,-76.457,0.0,top
C34,92.401699,-79.018095,0.0,top
C35,92.401699,-81.528095,0.0,top
C36,93.6125,-84.047,0.0,top
C37,93.6125,-86.557,0.0,top
C38,93.6125,-89.067,0.0,top
C39,70.98,-72.5875,90.0,top
C4,48.4005,-75.695,0.0,top
C40,68.3395,-67.948,0.0,top
C41,91.1995,-67.44,0.0,top
C42,64.4765,-61.852,0.0,top
C43,64.544392,-63.335992,0.0,top
C44,60.0795,-63.122,0.0,top
C45,60.2115,-65.662,0.0,top
C46,80.505,-77.8805,270.0,top
C47,70.98,-75.4145,90.0,top
C48,75.933,-77.8805,270.0,top
C5,61.7355,-81.664,0.0,top
C50,78.0655,-81.791,180.0,top
C51,81.648,-84.1775,90.0,top
C52,89.2945,-94.11,0.0,top
C53,73.4195,-77.092,0.0,top
C54,73.4605,-78.235,0.0,top
C55,70.726,-69.345,270.0,top
C56,71.742,-69.345,270.0,top
C57,56.121,-70.1665,270.0,top
C58,54.724,-70.1745,270.0,top
C6,61.7355,-83.188,0.0,top
C7,52.565,-76.2295,270.0,top
C8,51.803,-79.0865,90.0,top
D1,51.1945,-96.015,180.0,top
D10,72.82,-73.028,0.0,top
D11,69.391,-66.424,0.0,top
D12,84.696,-82.404,270.0,top
D13,79.743,-91.316,0.0,top
D2,51.168,-95.126,180.0,top
D7,44.932,-90.554,180.0,top
D8,57.264,-66.17,180.0,top
D9,53.773,-73.536,180.0,top
H1,41.953225,-98.942394,0.0,top
H2,42.0,-41.0,0.0,top
H3,100.0,-99.033537,0.0,top
H4,100.0,-41.0,0.0,top
IC1,53.222,-86.589,270.0,top
J1,41.583,-74.684,180.0,top
J2,41.516,-68.329,180.0,top
J3,41.495,-63.405,180.0,top
J4,41.583,-85.347,180.0,top
J5,41.514507,-53.758853,90.0,top
L1,72.631,-47.882,90.0,top
L2,100.6165,-77.097,90.0,top
Q2,62.852,-50.599,270.0,top
Q3,62.923,-45.926,270.0,top
Q4,86.17,-73.409,180.0,top
Q5,90.742,-73.409,180.0,top
Q6,86.17,-64.646,180.0,top
Q7,90.589,-64.605,180.0,top
Q8,79.5675,-87.633,180.0,top
R1,50.914,-75.0835,90.0,top
R10,73.8115,-74.552,0.0,top
R11,55.61,-82.98,270.0,top
R12,60.0815,-95.634,180.0,top
R13,55.613,-89.919,270.0,top
R14,60.0345,-94.11,0.0,top
R15,67.3205,-95.634,180.0,top
R16,58.661,-90.0225,90.0,top
R17,61.9395,-88.014,0.0,top
R2,44.945,-79.6555,90.0,top
R20,71.6385,-85.474,180.0,top
R21,65.9,-81.43,270.0,top
R22,57.365,-51.692,0.0,top
R23,89.85421,-54.821154,270.0,top
R24,94.094,-66.5745,90.0,top
R25,63.4635,-58.296,0.0,top
R27,87.4825,-54.225537,180.0,top
R28,87.485633,-55.424012,180.0,top
R29,49.644,-77.6,0.0,top
R3,93.967,-74.9565,90.0,top
R30,49.771,-78.997,0.0,top
R31,44.945,-83.188,270.0,top
R32,78.981,-77.854,270.0,top
R33,77.457,-77.8305,270.0,top
R34,78.0685,-80.267,0.0,top
R35,81.3705,-80.267,0.0,top
R36,78.6,-84.2275,90.0,top
R37,81.3705,-81.791,0.0,top
R38,80.124,-84.2275,90.0,top
R39,85.839,-86.8475,270.0,top
R40,84.9265,-91.951,180.0,top
R41,83.045,-89.538,90.0,top
R42,83.1955,-87.125,0.0,top
R43,76.695,-88.38,270.0,top
R6,47.993,-92.3555,90.0,top
R7,49.771,-92.332,90.0,top
R8,56.1585,-72.393,0.0,top
R9,53.8575,-72.13,180.0,top
TP1,58.5,-82.32,0.0,top
TP10,76.568,-69.83,0.0,bottom
TP11,94.954461,-92.117628,0.0,top
TP12,81.5,-61.0,0.0,bottom
TP13,72.123,-66.932,0.0,bottom
TP14,89.014,-86.872,0.0,top
TP15,100.571,-69.853,0.0,bottom
TP16,68.0,-60.0,0.0,bottom
TP17,59.804,-60.836,0.0,top
TP18,81.961153,-50.93,0.0,top
TP19,74.917,-81.029,0.0,top
TP2,58.777065,-86.829664,0.0,top
TP20,74.79,-84.077,0.0,top
TP21,61.074,-79.251,0.0,top
TP22,77.120727,-72.755153,0.0,top
TP23,62.09,-60.455,0.0,top
TP3,73.26,-88.73,0.0,top
TP4,63.36,-96.396,0.0,top
TP5,52.819,-51.819,0.0,top
TP6,57.36,-64.011,0.0,bottom
TP7,55.31,-62.233,0.0,bottom
TP8,64.376,-41.8876,0.0,top
TP9,75.044,-72.266,0.0,bottom
U1,62.991338,-73.371338,0.0,top
U2,67.72,-85.019999,0.0,top
U3,63.9696,-91.062,0.0,top
